ID,Metric Name,Definition
OI9604,Greenhouse Gas Emissions: Indirect,Amount of greenhouse gases (GHG) emitted through the organization's operations from indirect emissions sources during the reporting period.
OI6774,Greenhouse Gas Emissions Avoided Due to Carbon Offsets Purchased,Amount of greenhouse gas (GHG) emissions avoided through carbon credits purchased during the reporting period.
OI2436,Value of Carbon Credits Purchased,Value of carbon credits purchased by the organization during the reporting period.
PI2787,Greenhouse Gas Emissions Avoided Due to Carbon Offsets Sold,Amount of greenhouse gas (GHG) emissions avoided through carbon credits sold during the reporting period.
PI7015,Greenhouse Gas Emissions of Energy Generated for Sale,Amount of greenhouse gases (GHG) emitted through production of energy by the organization and delivered to offtaker(s) during the reporting period.
PD9427,Greenhouse Gas Emissions of Product,Amount of greenhouse gases (GHG) emitted by the product over its lifetime.
PD2243,Greenhouse Gas Emissions of Product Replaced,Amount of greenhouse gases (GHG) that would have been emitted by the replaced product during the lifetime of the organization's product.
PI5376,Greenhouse Gas Reductions due to Products Sold,Amount of reductions in greenhouse gas (GHG) emissions over the lifetime of products sold during the reporting period.
OI5951,Greenhouse Gas Emissions Mitigated,Amount of greenhouse gas (GHG) emissions mitigated by the organization during the reporting period. This should include GHG emissions reductions from direct and indirect sources.
PI9878,Greenhouse Gas Emissions Sequestered,Amount of greenhouse gas (GHG) emissions sequestered by the organization during the reporting period.
PI2764,Greenhouse Gas Emissions Avoided,Amount of greenhouse gas (GHG) emissions avoided by the organization during the reporting period.
OI4862,Greenhouse Gas Emissions Reduced,Amount of greenhouse gas (GHG) emissions reduced by the organization during the reporting period.
PI4060,Client Individuals: Total,Number of unique individuals who were clients of the organization during the reporting period.
PI8330,Client Individuals: Female,Number of unique women who were clients of the organization during the reporting period.
PI3193,Client Individuals: Poor,Number of unique poor individuals who were clients of the organization during the reporting period.
PI9835,Client Individuals: Very Poor,Number of unique very poor individuals who were clients of the organization during the reporting period.
PI7098,Client Individuals: Low Income,Number of unique low income individuals who were clients of the organization during the reporting period.
PI1190,Client Individuals: Rural,Number of unique individuals residing in rural areas and were clients of the organization during the reporting period.
PI6751,Client Individuals: Urban,Number of unique individuals residing in urban areas and were clients of the organization during the reporting period.
PI3960,Client Individuals: Peri-urban,Number of unique individuals residing in peri-urban areas and were clients of the organization during the reporting period.
PI6266,Client Individuals: Disabilities,Number of unique individuals with disabilities who were clients of the organization during the reporting period.
PI4237,Client Individuals: Minorities/Previously Excluded,Number of unique individuals who belong to minority or previously excluded groups and were clients of the organization during the reporting period.
PI1945,Client Individuals: Children/Adolescents,Number of unique children and adolescents who were clients of the organization during the reporting period.
PI9327,Client Individuals: Active,Number of unique individuals who were active clients of the organization as of the end of the reporting period.
PI8732,Client Individuals: New,Number of unique individuals who were first-time clients of the organization during the reporting period.
PI2822,Client Individuals: Provided New Access,"Number of unique client individuals who were served by the organization and provided access, during the reporting period, to products/services they were unable to access prior to the reporting period.

Organizations should reference New Access to Water, New Access to Energy, New Access to Education, New Access to Finance, or New Access to Healthcare in the glossary for more clarification."
PI1807,Client Individuals: No Direct Payment,Number of unique client individuals who received products/services during the reporting period where no direct payment was provided to the organization at the time of service but for which the organization expects to be reimbursed.
PI9622,Client Individuals: Receiving Free Products/Services,Number of unique client individuals who received free products/services from the organization during the reporting period.
PI2185,Client Individuals: Referred,Number of unique individual clients of the organization who were referred by other clients of the organization during the reporting period.
PI7954,Client Households: Total,Number of unique households that were clients of the organization during the reporting period.
PI1726,Client Households: Poor,Number of unique poor households that were clients of the organization during the reporting period.
PI6705,Client Households: Very Poor,Number of unique very poor households that were clients of the organization during the reporting period.
PI7318,Client Households: Low Income,Number of unique low income households that were clients of the organization during the reporting period.
PI1417,Client Households: Urban,Number of unique households in urban areas that were clients of the organization during the reporting period.
PI7952,Client Households: Peri-urban,Number of unique households in peri-urban areas that were clients of the organization during the reporting period.
PI3268,Client Households: Minorities/Previously Excluded,"Number of unique households with at least one household member who belongs to minority or previously excluded groups, and were clients of the organization during the reporting period."
PI6991,Client Households: New,Number of unique households who were first-time clients of the organization during the reporting period.
PI2845,Client Households: Provided New Access,"Number of unique households that were clients of the organization and provided access, during the reporting period, to products/services they were unable to access prior to the reporting period.

Organizations should reference New Access to Water, New Access to Energy, New Access to Education, New Access to Finance, or New Access to Healthcare in the glossary for more clarification."
PI2180,Client Households: No Direct Payment,Number of unique client households that received products/services during the reporting period where no direct payment was provided to the organization at the time of service but for which the organization expects to be reimbursed.
PI1583,Client Households: Receiving Free Products/Services,Number of unique client households who received free products/services from the organization during the reporting period.
PI4548,Client Household Size,"Average household size of clients of the organization during the reporting period, measured with number of individuals."
PI9652,Client Organizations: Total,Number of enterprises that were clients of the organization during the reporting period.
PI6894,Client Organizations: New,Number of enterprises that were first-time clients of the organization during the reporting period.
PI2575,Client Organizations: Provided New Access,"Number of enterprise clients that were served by the organization and provided access, during the reporting period, to products/services they were unable to access prior to the reporting period.

Organizations should reference New Access to Water, New Access to Energy, New Access to Education, New Access to Finance, or New Access to Healthcare in the glossary for more clarification."
PI8952,Client Organizations: No Direct Payment,Number of enterprise clients that received products/services during the reporting period where no direct payment was provided to the organization at the time of service but for which the organization expects to be reimbursed.
PI6050,Client Organizations: Receiving Free Services,Number of enterprise clients that received free products/services from the organization during the reporting period.
PI9713,Client Organizations: Microenterprises,Number of microenterprises that were clients of the organization during the reporting period.
PI4940,Client Organizations: SME,Number of small-to-medium enterprises (SMEs) that were clients of the organization during the reporting period.
PI5184,Client Transactions,Number of sales or client transactions during the reporting period.
PI9319,Client Retention Rate,Ratio of the number of the organization's active clients retained from the start to the end of the reporting period.
PI1748,Client Savings Premium,Ratio of the price savings obtained by the client from purchasing a product/service from the organization compared to the average price that would be otherwise paid for a similar product/service in the local market.
PI9409,Client Income,"Number of unique individuals who were clients of the organization during the reporting period reporting an increase, decrease, or no change in income."
PI2476,Communities Served,Number of communities where the organization's products/services were available during the reporting period.
OI8869,Permanent Employees: Total,Number of people employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time employees.
OI2444,Permanent Employees: Female,Number of females employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time female employees.
OI8266,Permanent Employees: Low Income Areas,Number of people employed by the organization who reside in low income areas as of the end of the reporting period. This is the sum of all paid full-time and part-time employees residing in low income areas.
OI4038,Permanent Employees: Disabilities,Number of people with disabilities employed by the organization as of the end of the reporting period. This is the sum of all paid full-time and part-time employees with disabilities.
OI3236,Permanent Employees: Minorities/Previously Excluded,Number of people employed by the organization who belong to minority or previously excluded groups as of the end of the reporting period. This is the sum of all paid full-time and part-time minority or previously excluded employees.
OI3547,Permanent Employees: Hired,Number of people hired by the organization during the reporting period. This is the sum of all paid full-time and part-time employees hired.
OI6995,Employees Promoted: Total,Number of permanent employees who were promoted within the organization during the reporting period.
OI8646,Employees Promoted: Female,Number of employees who are female and who were promoted within the organization during the reporting period.
OI3160,Full-time Employees: Total,Number of paid full-time employees at the organization as of the end of the reporting period.
OI6213,Full-time Employees: Female,Number of paid full-time female employees at the organization as of the end of the reporting period.
OI2003,Full-time Employees: Disabilities,Number of paid full-time employees at the organization with disabilities as of the end of the reporting period.
OI8147,Full-time Employees: Minorities/Previously Excluded,Number of paid full-time employees at the organization who belong to minority or previously excluded groups as of the end of the reporting period.
OI5479,Full-time Employees: Hired,Number of paid full-time employees hired by the organization during the reporting period.
OI8251,Full-time Employees: Managers,Number of paid full-time management employees (managers) at the organization as of the end of the reporting period.
OI1571,Full-time Employees: Female Managers,Number of paid full-time female management employees (managers) at the organization as of the end of the reporting period.
OI8292,Full-time Employees: Managers with Disabilities,Number of paid full-time management employees (managers) with disabilities at the organization as of the end of the reporting period.
OI3140,Full-time Employees: Minorities/Previously Excluded Managers,Number of paid full-time management employees (managers) at the organization who belong to minority or previously excluded groups as of the end of the reporting period.
OI8864,Part-time Employees: Total,Number of paid part-time employees at the organization as of the end of the reporting period.
OI8838,Part-time Employees: Female,Number of paid female part-time employees at the organization as of the end of the reporting period.
OI4571,Part-time Employees: Disabilities,Number of paid part-time employees with disabilities at the organization as of the end of the reporting period.
OI6508,Part-time Employees: Minorities/Previously Excluded,Number of paid part-time employees at the organization who belong to minority or previously excluded groups as of the end of the reporting period.
OI1903,Part-time Employees: Hired,Number of paid part-time employees hired by the organization during the reporting period.
OI3098,Part-time Employee Hours Worked,Number of paid hours worked by part-time employees of the organization during the reporting period.
OI9028,Temporary Employees,Number of temporary employees paid by the organization during the reporting period.
OI8408,Temporary Employees Hours Worked,Number of paid hours worked by temporary employees of the organization during the reporting period.
OI5858,Employees: Minimum Wage,"Number of full-time, part-time, and temporary employees of the organization that are earning the local minimum wage as of the end of the reporting period."
OI4061,Healthcare Benefits Participants,Number of full-time employees who received healthcare benefits through the organization's programs during the reporting period.
OI1166,Volunteer Hours,Number of hours worked by non-employee volunteers who supported the organization during the reporting period.
OI8429,Community Service Hours Contributed,Number of hours volunteered by full-time and part-time employees of the organization during the reporting period.
OI4499,Departed Permanent Employees: Total,Number of full-time and part-time employees that departed the organization (for any reason) during the reporting period.
OI3653,Departed Permanent Employees: Full-time,Number of full-time employees that departed the organization (for any reason) during the reporting period.
OI7225,Departed Permanent Employees: Involuntary,Number of full-time and part-time employees that departed the organization involuntarily during the reporting period.
OI8431,Departed Permanent Employees: Voluntary,Number of full-time and part-time employees that departed the organization voluntarily during the reporting period.
OI3989,Employee Involuntary Turnover Rate,"Ratio of the number of involuntarily departing permanent (full-time and part-time) employees, compared to the average number of permanent (full-time and part-time) employees at the organization during the reporting period."
OI1638,Employee Voluntary Turnover Rate,"Ratio of the number of permanent (full-time and part-time) employees that departed voluntarily, compared to the average number of permanent (full-time and part-time) employees at the organization during the reporting period."
OI2248,Average Employee Tenure,Average tenure of employees of the organization as of the end of the reporting period.
OI6370,Employees Dedicated to Social and Environmental Performance,Number of full-time equivalent employees dedicated to managing social and environmental performance during the reporting period.
OI9677,Permanent Employee Wages: Total,"Value of wages (including bonuses, excluding benefits) paid to all full-time and part-time employees of the organization during the reporting period."
OI4559,Permanent Employee Wages: Female,"Value of wages (including bonuses, excluding benefits) paid to all female full-time and part-time employees of the organization during the reporting period."
OI7064,Permanent Employee Wages: Low Income Areas,"Value of wages (including bonuses, excluding benefits) paid to all full-time and part-time employees of the organization who reside in low income areas during the reporting period."
OI1682,Permanent Employee Wages: Disabilities,"Value of wages (including bonuses, excluding benefits) paid to all full-time and part-time employees of the organization with disabilities during the reporting period."
OI1084,Permanent Employee Wages: Minorities/Previously Excluded,"Value of wages (including bonuses, excluding benefits) paid to all full-time and part-time employees of the organization who belong to minority or previously excluded groups during the reporting period."
OI5887,Full-time Wages: Total,"Value of wages (including bonuses, excluding benefits) paid to all full-time employees of the organization during the reporting period."
OI8941,Full-time Wages: Female,"Value of wages (including bonuses, excluding benefits) paid to all female full-time employees of the organization during the reporting period."
OI1508,Full-time Wages: Minorities/Previously Excluded,"Value of wages (including bonuses, excluding benefits) paid to all full-time employees of the organization who belong to minority or previously excluded groups during the reporting period."
OI6069,Full-time Wages: Management,"Value of wages (including bonuses, excluding benefits) paid to all full-time management employees (managers) of the organization during the reporting period."
OI5247,Full-time Wages: Female Management,"Value of wages (including bonuses, excluding benefits) paid to all full-time female management employees (managers) of the organization during the reporting period."
OI3862,Full-time Wages: Minorities/Previously Excluded Management,"Value of wages (including bonuses, excluding benefits) paid to all full-time management employees (managers) of the organization who belong to minority or previously excluded groups during the reporting period."
OI9948,Part-time Wages: Total,"Value of wages (including bonuses, excluding benefits) paid to all part-time employees of the organization during the reporting period."
OI8725,Part-time Wages: Female,"Value of wages (including bonuses, excluding benefits) paid to all female part-time employees of the organization during the reporting period."
OI9956,Part-time Wages: Minorities/Previously Excluded,"Value of wages (including bonuses, excluding benefits) paid to all part-time employees of the organization who belong to minority or previously excluded groups during the reporting period."
OI4202,Temporary Employee Wages,"Value of wages (including bonuses, excluding benefits) paid to all temporary employees of the organization during the reporting period."
OI8791,Average Non-Salaried Wage,"Average wage paid to non-salaried full-time, part-time, or temporary employees of the organization during the reporting period. Employees that are salaried should not be included in this calculation."
OI3480,Median Non-Salaried Wage,"Median wage paid to non-salaried full-time, part-time, or temporary employees of the organization during the reporting period. Employees that are salaried should not be included in this calculation."
OI6176,Minimum Wage Multiple,"Ratio of the average wage of non-salaried permanent (full-time and part-time) employees of the organization during the reporting period, compared to the local minimum wage as of the end of the reporting period."
OI1582,Wage Equity,"Ratio of the wages paid during the reporting period to the highest compensated full-time employee (inclusive of bonus, excluding benefits), compared to the lowest paid full-time employee."
OI1855,Gender Wage Equity,"Ratio of the average wage paid during the reporting period to female employees of the organization for a specified position, compared to the average wage paid to male employees of the organization for the same position."
OI9767,Wage Premium,"Ratio that compares the additional average wage paid to employees of the organization, to the average wage paid for a similar job in a similar industry/category in the local market, at the end of the reporting period."
FP5293,Total Assets,"Value, at the end of the reporting period, of all of the organization's assets."
FP9148,Fixed Assets,"Value, at the end of the reporting period, of the organization's long-term tangible assets that are not expected to be converted into cash in the current or upcoming fiscal year."
FP6926,Current Assets,"Value, at the end of the reporting period, of the organization's assets that are reasonably expected to be converted into cash within one year in the normal course of business."
FP4649,Financial Assets,"Value, at the end of the reporting period, of the organization's non-physical assets such as cash, bank accounts, or other investments."
FP5317,Equity or Net Assets,"Value of the residual interest, at the end of the reporting period, in the assets of the organization after deducting all its liabilities.

Net assets is equivalent to total assets minus total liabilities."
FP8653,Retained Earnings,"Value of the sum of the organization's profits, cumulative from inception to the end of the reporting period, not paid out as dividends, but retained by the organization to be reinvested in its core business or to pay debt."
FP2852,Accounts Payable,"Value, at the end of the reporting period, of all outstanding debts that must be paid by the organization within a given period of time in order to avoid default."
FP2213,Accounts Receivable,"Value, at the end of the reporting period, of the organization's outstanding debts from clients who received goods or services on credit."
FP1996,Total Liabilities,Value of organization's liabilities at the end of the reporting period.
FP2269,Current Liabilities,"Value, at the end of the reporting period, of all liabilities that are expected to be settled within one year in the normal course of business."
FP6094,Long Term Financial Liabilities,"Value, at the end of the reporting period, of an organization's long term financial liabilities."
FP6750,Loans Payable,"Value of the remaining balance, at the end of the reporting period, on all the organization's outstanding debt obligations carried on the balance sheet."
FP7264,Cash and Cash Equivalents: Period Start,Value of the organization's cash equivalents at the beginning of the reporting period.
FP1001,Operating Expenses,Value of expenditures incurred by the organization as a result of performing its normal business operations during the reporting period.
FP3466,Cash Flow: Net Total,"Value of the organization's net cash flow at the end of the reporting period. Net cash flow equals inflows less outflows of cash and cash equivalents from operating, investing, financing, etc. activities."
FP4812,Cash Flow: Operating Activities,Value of the organization's cash flows for the reporting period related to operating activities.
FP9703,Cash Flow: Investing Activities,Value of the organization's cash flows for the reporting period related to investing activities by the organization.
FP8244,Cash Flow: Financing Activities,Value of the organization's cash flows for the reporting period related to its financing activities.
FP8293,New Investment Capital,Value of funds invested in the organization (both loans and investments) during the reporting period.
FP1301,Net Income,"Value of the organization's net profit, calculated as total income minus total expenses, taxes, and cost of goods sold during the reporting period."
FP3274,Net Income Before Donations,"Value of the organization's net profit before donations, calculated as total income (excluding donations) minus total expenses during the reporting period."
FP3673,EBIT,"Value of the organization's net income before interest and taxes during the reporting period.

EBIT signifies Earnings Before Interest and Taxes."
FP1657,EBITDA,"Value of the organization's net income before interest, taxes, depreciation and amortization during the reporting period.

EBITDA signifies Earnings Before Interest, Taxes, Depreciation, and Amortization."
FP6510,Total Revenue,Value of all revenue received by the organization during the reporting period.
PI1775,Sales Revenue,Value of the revenue from sales of the organization's products/services during the reporting period.
FP8300,Sales Revenue: Collected Directly,Value of the revenue from sales of the organization's products/services collected from clients directly during the reporting period.
FP5624,Sales Revenue: Collected from Third Party Payers,Value of the revenue from sales of the organization's products/services collected from public or private payers during the reporting period.
FP1012,Interest Expenses,"Value of expenditures incurred by the organization during the reporting period, due to interest incurred on all liabilities, including any client deposit accounts held by the organization, borrowings, subordinated debt, and other liabilities."
FP1717,Impaired Assets,Value of assets classified as impaired under regulatory or accounting rules and recorded by the organization during the reporting period.
FP2321,Total Expenses,Value of all expenditures incurred by the organization during the reporting period.
FP2651,Return on Equity (ROE),"Value of an organization's net profit generated per dollar of shareholders' equity for the reporting period.

This is a profitability ratio calculated as net income divided by average total equity or net assets."
FP3021,Revenue from Grants and Donations,Value of the revenue that is contributed through grants and donations during the reporting period.
FP3297,Income Growth,Growth in value of the organization's net income from one reporting period to another.
FP3774,Charitable Donations,"Value of all financial contributions and in-kind donations of goods and services made by the organization to charities, private foundations, non-profit organizations, or non-governmental organizations during the reporting period."
FP4224,Working Capital Ratio,Ratio of the organization's current assets to current liabilities at the end of the reporting period.
FP4326,Return on Assets (ROA),"Value of an organization's net profit after taxes generated per dollar invested in total assets for the reporting period.

This is a profitability ratio calculated as net income divided by average total assets."
FP4373,Gross Margin,Percentage of revenue that the organization retains after incurring the direct costs associated with production/delivery of its products/services for the reporting period.
FP4761,Revenue Growth,Growth in value of the organization's revenue from one reporting period to another.
FP4831,Personnel Expenses,"Value of expenditures related to personnel including wages, benefits, trainings, and payroll taxes incurred by the organization during the reporting period."
FP4849,Non-operating Revenue,Value of the revenue that is derived from activities not related to the organization's core operations during the reporting period.
FP5261,Payments to Government,Value of all transfers to the government made by the organization during the reporting period.
FP6462,Cash and Cash Equivalents: Period End,Value of the organization's cash equivalents at the end of the reporting period.
FP6856,Working Capital,Value of the organization's operating liquidity at the end of the reporting period.
FP7629,Gross Profit,Value of the organization's residual profit after incurring the direct costs associated with production/delivery for the reporting period.
FP7897,Operating Profit Margin,"Value of the proportion of the organization's revenue that is left over after paying for variable costs such as wages, raw materials, etc. during the reporting period."
FP8295,Personnel Efficiency,"Ratio used to assess an organization's personnel efficiency, calculated by dividing the organization's personnel expense by its average loans receivable gross as of the end of the reporting period."
FP8569,Operating Efficiency,"Ratio used to assess an organization's operating efficiency, calculated by dividing the organization's operating expense by its average loans receivable gross as of the end of the reporting period."
FP9049,Cost of Goods Sold,Value of direct expenditures attributable to the production of the goods sold by the organization during the reporting period.
FP9462,Depreciation and Amortization Expenses,Value of expenses recorded by the organization during the reporting period for depreciation and amortization.
FP9649,"Selling, General, and Administration Expenses",Value of all direct and indirect selling expenses and all general and administrative expenses incurred by the organization during the reporting period.
OD1777,Location of Organization's Operating Facilities,Address of the organization's operating facilities.
OD3520,Year Founded,Year the organization was founded.
OD3725,IRIS ID,IRIS ID of the organization reporting data.
OD5828,Name of Organization,Name of the organization.
OD5990,Reporting Currency,"The national currency used to report currency figures for this IRIS report.

Indicate based on the International Organization for Standardization (ISO) Currency List. Select from the options in the Reference List tab."
OD6855,Location of Organization's Headquarters,Address of the organization's legally incorporated headquarters.
OD6951,Report Start Date,Start date of the reporting period for which the organization is providing data.
OD7111,Report End Date,End date of the reporting period for which the organization is providing data.
OD7796,Organization Web Address,Web address (URL) of the organization.
OI1075,Board of Directors: Total,Number of members of the organization's board of directors or other governing body as of the end of the reporting period.
OI1495,Energy Generated for Use: Non-renewable,Amount of energy generated and consumed by the organization from non-renewable sources during the reporting period.
OI1496,Energy Purchased: Non-Renewable,Amount of purchased energy consumed by the organization from non-renewable sources during the reporting period.
OI1503,Healthcare Benefits Premium Covered,Percentage of a full-time employee's healthcare premium that is covered. This should be based on benefits available to full-time employees as of the end of the reporting period.
OI2165,Number of Legal and Regulatory Complaints,Number of formal legal and regulatory complaints received by the organization during the last reporting period.
OI2209,Founders: Total,Number of the organization's founders who retain an active role in the company as of the end of the reporting period.
OI2496,Energy Generated for Use: Renewable,Amount of energy generated and consumed by the organization from renewable sources during the reporting period.
OI2596,Conflict of Interest Policy,"Indicates whether the organization has a written policy to monitor and disclose any potential conflicts of interest between the organization and its board members, owners, or material investors."
OI2840,Percent Female Ownership,"Percentage of the organization that is female-owned, as of the end of the reporting period."
OI3324,Energy Purchased: Renewable,Amount of purchased energy consumed by the organization from renewable sources during the reporting period.
OI3630,Meeting Frequency of Board of Directors,Number of times the organization's board of directors or governing body met during the reporting period.
OI3757,Occupational Injuries,"Number of occupational injuries which affected any full-time, part-time, and temporary employees of the organization during the reporting period."
OI4070,Board of Directors: Independent,Number of independent board members of the organization's board of directors or governing body as of the end of the reporting period.
OI4136,Social and Environmental Performance Management Training,Indicates whether any member of the organization's board of directors participated in training sessions related to any aspect of environmental or social performance management during the reporting period.
OI4229,Employees Trained,"Number of employees (full-time, part-time, or temporary) who were trained through programs provided by the organization (both internally and externally) during the reporting period."
OI5552,Percent Charitable Donations,Percentage of the organization's revenue that was given as charitable donations during the reporting period.
OI6286,Recycling Policy,Indicates whether the organization implements a recycling policy in its operating facilities.
OI6525,Occupational Fatalities,"Indicates the number of occupational fatalities of full-time, part-time, and temporary employees of the organization during the reporting period."
OI6696,Board of Directors: Minority/Previously Excluded,Number of board of directors or other governing body members who belong to minority or previously excluded groups as of the end of the reporting period.
OI6697,Energy Conserved,Amount of reduction in energy consumption achieved as a direct result of energy conservation and efficiency initiatives employed by the organization during the reporting period.
OI6765,Green Building Practices,Indicates whether the organization employs green building practices.
OI7194,Percent Minority/Previously Excluded Ownership,Percentage of the organization that is owned by individuals who belong to minority or previously excluded groups as of the end of the reporting period.
OI7390,Employee Training Costs,"Value of the costs incurred by the organization as a result of training provided to employees (full-time, part-time, or temporary) during the reporting period."
OI7421,Charitable Practices,Indicates whether the organization employs charitable practices through its operations.
OI7639,Value of Fines and Settlements,Value of payments made by organization as legal or regulatory fines and settlements during the last reporting period.
OI7829,Investment Committee Members: Total,Number of members of the organization's investment committee as of the end of the reporting period.
OI7877,Employee Training Hours,"Number of training hours provided for employees (full-time, part-time, or temporary) during the reporting period."
OI8118,Board of Directors: Female,Number of female members of the organization's board of directors or other governing body as of the end of the reporting period.
OI8670,Strikes and Lockouts,Number of employees' strikes and lockouts at the organization during the reporting period.
OI8825,Energy Purchased: Total,Amount of purchased energy consumed by the organization during the reporting period.
OI9624,Energy Generated for Use: Total,Amount of energy generated and consumed by the organization during the reporting period.
PD2587,Client Locations,Countries where the organization's products/services are purchased/used. Select from the options in the Reference List tab.
PD4565,Supplier Locations,Countries where the organization's suppliers are located. Select from the options in the Reference List tab.
PD4587,Product Lifetime,"Lifetime of the product provided by the organization (based on reasonable use).

Organizations should report product lifetime in number of years."
PD6806,Client State/Province/Region,States or provinces where the organization's products/services are purchased/used.
PI1060,Distributor Organizations: Total,Number of organizations that served as distributors of the organization's products/services during the reporting period.
PI1160,Distributor Individuals: Disabilities,Number of individuals with disabilities who served as distributors of the organization's products/services during the reporting period.
PI1263,Units/Volume Sold: Total,Amount of the product/service sold by the organization during the reporting period.
PI1290,Units/Volume Produced,Amount of the product/service produced by the organization during the reporting period.
PI1492,Payments to Supplier Individuals: Total,Value of payments made by the organization to individuals who sold to the organization during the reporting period.
PI1728,Supplier Individuals: Female,Number of female individuals who sold goods or services to the organization during the reporting period.
PI1849,Payments to Supplier Organizations: Local,Value of payments made to local enterprises that sold goods or services to the organization during the reporting period.
PI1997,Purchase Price of Product or Service Replaced,Indicates average price paid in the local market by clients for a product/service similar to the product/service sold by the organization.
PI2125,Distributor Individuals: Low Income,Number of low income individuals who served as distributors of the organization's products/services during the reporting period.
PI2242,Supplier Individuals: Poor,Number of poor individuals who sold goods or services to the organization during the reporting period.
PI2251,Jobs Created at Directly Supported/Financed Enterprises: Low-Income Areas,"Net number of new full-time equivalent employees living in low income areas working for enterprises financed or supported by the organization between the beginning and end of the reporting period.

Many organizations may choose the beginning of the reporting period to be the time when the organization began its support/investment."
PI2302,Payments to Supplier Individuals: Female,Value of payments made by the organization to female individuals who sold goods or services to the organization during the reporting period.
PI2551,Earnings of Distributor Individuals: Female,Earnings generated by female individual distributors from selling the organization's products/services during the reporting period.
PI2566,Supplier Individuals: Rural,Number of individuals residing in rural areas who sold goods or services to the organization during the reporting period.
